country,Year,Percent
Czech Republic,2015,39
Czech Republic,2016,34
Czech Republic,2017,32
Czech Republic,2018,31
Czech Republic,2019,33
Czech Republic,2020,33
Czech Republic,2021,36
Czech Republic,2022,34
